timestamp,query,retrieval_time_ms,llm_time_ms,total_time_ms,similarity_score,tokens_used,cost_usd
2026-06-22 11:13:05,Qual a missão da Secretaria de Fazenda?,19094.16,1288.06,20382.25,1.3333,384,0.00000768
2026-06-22 11:18:30,Qual o nome do prefeito de Duque de Caxias?,18556.03,1370.54,19926.59,1.1250,343,0.00000686
2026-06-22 11:21:38,quem é o prefeito ?,1993.19,1013.08,3006.30,1.5000,337,0.00000674
2026-06-22 11:21:58,onde fica a secretaria de obras ?,1884.90,1593.24,3478.16,1.1667,383,0.00000766
2026-06-22 11:23:56,quem pe o prefeito ?,710.25,1144.93,1855.22,1.5000,338,0.00000676
2026-06-22 11:24:22,Onde fica localizado o endereço da prefeitura ?,601.98,9652.62,10254.68,0.7500,297,0.00000594
2026-06-22 11:24:39,quantas secretarias temos ?,767.55,1113.33,1880.91,0.6505,131,0.00000262
2026-06-22 11:26:19,Qual o prefeito de Duque de Caxias?,927.58,10696.41,11624.01,0.8022,383,0.00000766
2026-06-22 11:29:54,endereço do urbanismo,1349.17,0.00,1349.19,0.0000,0,0.00000000
2026-06-22 11:41:35,Quem é o Prefeito de Duque de Caxias?,2021.19,5398.22,7419.45,0.7958,384,0.00000768
2026-06-22 11:43:47,onde eu consigo Isencao de IPTU?,2164.78,3440.52,5605.35,0.7920,422,0.00000844
2026-06-22 11:44:21,Qual secretaria que é responsável pela Isencao de IPTU  ?,1660.75,5085.70,6746.52,0.7983,428,0.00000856
2026-06-22 11:44:41,Quem é o prefeito ?,1541.88,1179.80,2721.71,0.7252,379,0.00000758
2026-06-22 11:45:49,Eu quero Como eu solicito  poda de árvores ?,1527.64,3953.02,5480.70,0.8271,449,0.00000898
2026-06-22 11:46:31,Poderia me dizer qual é o formulario para solicitar  poda de árvores ?,1559.04,19682.47,21241.54,0.8218,455,0.00000910
2026-06-22 11:47:01,Eu quero fazer uma denuncia para resgate de animais,1703.92,1645.52,3349.48,0.7774,334,0.00000668
2026-06-22 11:47:43,Quero me matricular no inglês kids,1628.14,1380.08,3008.25,0.7211,254,0.00000508
2026-06-22 11:48:15,Quais serviços temos no Secretaria Municipal de Saúde ?,1554.11,1627.08,3181.22,0.7848,554,0.00001108
2026-06-22 11:50:46,Quem é a secretaria de saude ?,1635.61,1228.24,2863.89,0.7559,382,0.00000764
2026-06-22 11:51:01,Quem é a secretaria de saude ?urbanismo,1836.31,3599.27,5435.61,0.7672,384,0.00000768
2026-06-22 11:52:04,quem é o DESENVOLVIMENTO ECONÔMICO,1668.60,9927.24,11595.90,0.7264,383,0.00000766
2026-06-22 11:52:35,Quem é Paulo César ?,1593.48,1006.61,2600.13,0.5760,380,0.00000760
2026-06-22 11:53:03,Quem é o secretario municipal de desenvolvimento economico?,1682.75,1108.65,2791.43,0.7907,389,0.00000778
2026-06-22 11:56:23,Onde fica a prefeitura de duque de caxias ?,1615.74,1519.11,3134.88,0.8004,308,0.00000616
2026-06-22 12:00:39,quem é o prefeito ?,1663.32,17779.11,19442.46,0.6688,379,0.00000758
2026-06-22 12:01:15,quem é o prefeito ?,1576.35,2380.89,3957.29,0.6688,379,0.00000758
2026-06-22 12:03:36,Quem é o prefeito ?,1521.05,1431.13,2952.20,0.7252,379,0.00000758
2026-06-22 12:03:59,quem é o prefeito ?,1894.67,4348.73,6243.44,0.6688,379,0.00000758
2026-06-22 12:50:27,eu quero saber sobre o oficio 000168,1640.48,5970.51,7611.03,0.7612,608,0.00001216
2026-06-22 13:05:21,Quem é o Prefeito de Duque de Caxias?,1739.79,1569.56,3309.39,0.7958,384,0.00000768
2026-06-22 13:06:01,Quem é o Prefeito de Duque de Caxias?,1658.12,1275.69,2933.84,0.7958,384,0.00000768
2026-06-22 13:16:07,quem é o prefeito ?,1787.19,1016.26,2803.50,0.6688,379,0.00000758
2026-06-22 13:37:30,Quem é pedro ?,1674.66,2793.85,4468.56,0.5953,378,0.00000756
2026-06-22 13:37:58,Como solicitar poda de arvore ?,1544.65,4849.95,6394.64,0.8226,445,0.00000890
2026-06-22 15:07:26,Quem é o prefeito ?,2596.59,3504.69,6101.32,0.8064,212,0.00000424
2026-06-22 15:07:47,Quem é o secretario de saude ?,1627.63,1730.93,3358.59,0.6396,382,0.00000764
2026-06-22 15:12:19,Qual endereço do urbanismo ?,2005.68,3819.15,5824.86,0.6722,287,0.00000574
2026-06-22 15:15:46,QUem é o prefeito ?,3208.84,5381.59,8590.46,0.8060,212,0.00000424
2026-06-22 15:16:33,Quero abrir uma minifestação de barulho; como eu faço ?,2089.23,0.00,2089.26,0.0000,0,0.00000000
2026-06-22 15:17:20,Quais os cursos oferecidos pela FUNDEC?,2358.58,2371.52,4730.12,0.7483,301,0.00000602
2026-06-22 15:17:42,Qual o papel do IPMDC na previdência municipal?,1534.64,3242.26,4776.92,0.7482,268,0.00000536
2026-06-22 15:18:26,Quem é o atual Prefeito de Duque de Caxias?,4293.34,5209.12,9502.51,0.6952,343,0.00000686
2026-06-22 15:21:18,Quem é o atual Prefeito de Duque de Caxias?,3202.29,3687.99,6890.32,0.6952,343,0.00000686
2026-06-22 15:22:22,Como faço para solicitar capina ou limpeza urbana?,3351.61,6722.40,10074.04,0.5860,348,0.00000696
2026-06-22 15:30:42,Qual o papel do IPMDC na previdência municipal?,3455.60,1996.76,5452.39,0.7482,268,0.00000536
2026-06-22 15:31:41,Poda de arvore; qual secretaria é responsável ?,3769.25,2658.54,6427.83,0.6746,386,0.00000772
2026-06-22 15:32:16,Qual o telefone e endereço do meio ambiente ?,3556.38,3716.61,7273.11,0.7675,308,0.00000616
2026-06-22 15:45:14,gostaria de abrir uma reclamação,4503.28,0.00,4503.30,0.0000,0,0.00000000
2026-06-22 15:46:47,quem é você ?,2507.86,0.00,2507.87,0.0000,0,0.00000000
2026-06-22 16:02:11,Quem é responsável por reclamações de iluminação pública ou troca de lâmpadas no Colab,2512.59,17805.58,20318.21,0.6086,396,0.00000792
2026-06-22 16:42:21,o que é o colab ?,5387.92,0.00,5392.86,0.0000,0,0.00000000
2026-06-22 16:45:32,o que é o colab ?,4813.19,0.00,4813.21,0.0000,0,0.00000000
2026-06-22 16:45:43,quem cirou o colab ?,2617.03,0.00,2617.04,0.0000,0,0.00000000
2026-06-22 16:45:54,quem é netinho reis ?,4252.12,0.00,4252.13,0.0000,0,0.00000000
2026-06-22 16:47:57,o qu eé o colab ?,3451.27,0.00,3451.29,0.0000,0,0.00000000
2026-06-22 16:48:17,Qual plataforma se usa para abrir manifestação ?,3536.73,0.00,3536.75,0.0000,0,0.00000000
2026-06-22 16:48:32,quem é netinho reis ?,4940.13,0.00,4940.15,0.0000,0,0.00000000
2026-06-22 16:49:04,quem é o prefeito ?,2921.74,0.00,2921.75,0.0000,0,0.00000000
2026-06-23 09:51:28,quem é o prefeito ?,1750.52,5835.96,9630.58,0.6915,337,0.00000674
2026-06-23 09:52:14,Qual o endereço de obras ?,1794.92,1768.32,5730.77,0.5772,274,0.00000548
2026-06-23 09:52:40,O que é o colab ?,2037.57,2576.01,7414.29,0.7713,379,0.00000758
2026-06-23 09:53:02,como que eu abro uma reclamação ?,1816.42,0.00,4181.95,0.0000,0,0.00000000
2026-06-23 10:16:14,Qual o papel do IPMDC na previdência municipal?,634.45,3341.75,3976.32,0.7625,261,0.00000522
2026-06-23 10:19:28,eu to com problrma de falta de luz e gostaria de solciitar a troca,1824.74,4019.24,9570.94,0.5047,424,0.00000848
2026-06-23 10:23:33,Quais secretarias temos na prefeitura ?,1817.77,2175.93,3993.81,0.5210,384,0.00000768
2026-06-23 10:47:08,Quais secretarias temos em caxias ?,13.60,13299.54,13313.20,1.0000,5883,0.00011766
2026-06-23 10:49:43,Ola quem é voce ?,1789.06,0.00,4211.79,0.0000,0,0.00000000
2026-06-23 10:52:04,Ola quem é voce ?,1926.93,0.00,4467.78,0.0000,0,0.00000000
2026-06-23 10:53:10,eu não tenho leite para o meu filho; consigo algo da prefeitura ?,1794.09,8006.63,12455.43,0.5575,342,0.00000684
2026-06-23 10:54:40,eu não tenho emprego; a prefeitura consegue me dar um emprego ?,1827.93,3645.97,8991.51,0.5590,390,0.00000780
2026-06-23 10:59:19,Qual o prefeito de Duque de Caxias?,1830.06,2375.46,7065.67,0.7772,341,0.00000682
2026-06-23 10:59:36,como eu abro uma reclamação sobre barulho ?,1864.11,8355.45,14250.51,0.5252,305,0.00000610
2026-06-23 11:01:00,denuncia um bar que nao tem avara,1886.19,0.00,4985.35,0.0000,0,0.00000000
2026-06-23 11:01:50,como eu uso o colab ?,2387.77,32688.04,37698.70,0.7454,380,0.00000760
2026-06-23 11:06:41,gostaria de reclamar do meu vizinho; tem uma arvore na casa dele que ta quase caindo,1808.42,7625.21,32234.44,0.5440,460,0.00000920
2026-06-23 11:31:36,Qual o canal correto para denunciar som alto e perturbação do sossego?,1780.85,4895.90,9818.18,0.5311,166,0.00000332
2026-06-23 11:31:41,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,516.27,4583.64,5100.37,0.5662,245,0.00000490
2026-06-23 11:31:53,Qual o procedimento para solicitar vaga em creche municipal?,1856.26,5913.95,11584.56,0.5497,380,0.00000760
2026-06-23 11:32:01,Considerando os bairros com maior volume de reclamações de tapa-buraco nos últimos 6 meses; quais deles também concentram o maior número de solicitações de retirada de entulho na Zeladoria; e o que isso pode indicar sobre a infraestrutura dessas regiões?,1787.71,7066.21,8854.68,0.5034,188,0.00000376
2026-06-23 11:32:28,Quero saber como solicitar a poda de uma árvore que está bloqueando minha calçada.,1753.64,15053.30,26948.32,0.5710,517,0.00001034
2026-06-23 13:26:00,Qual o endereço do CRAS do Jardim Primavera?,1961.16,1511.40,3473.30,0.6323,186,0.00000372
2026-06-23 13:28:41,não consigo gera ra guia de iptu,705.29,4684.60,5391.06,0.5768,348,0.00000696
2026-06-23 13:29:00,qual a secretaria que gerar iptu ?,509.55,1947.29,2457.26,0.6062,348,0.00000696
2026-06-23 13:29:32,qual telefone ?,2482.95,8500.64,17374.25,0.5653,113,0.00000226
2026-06-23 13:39:57,Como faço para solicitar capina ou limpeza urbana?,2036.70,4477.22,6514.38,0.5497,348,0.00000696
2026-06-23 13:43:49,Qual o canal correto para denunciar som alto e perturbação do sossego?,1890.75,8674.49,12802.57,0.5311,166,0.00000332
2026-06-23 13:44:37,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,574.83,2434.69,3010.92,0.5662,245,0.00000490
2026-06-23 14:19:16,Quais os cursos oferecidos pela FUNDEC?,943.74,3012.00,3956.34,0.6467,359,0.00000718
2026-06-23 14:33:22,Quais os cursos oferecidos pela FUNDEC?,16.48,42793.47,42811.82,1.0000,13112,0.00026224
2026-06-23 14:40:28,Quais os cursos oferecidos pela FUNDEC?,858.50,6378.28,7237.39,0.6467,359,0.00000718
2026-06-23 14:42:27,O que é a Ouvidoria?,541.47,13961.89,14503.82,0.7805,380,0.00000760
2026-06-23 14:47:49,Qual o canal correto para denunciar som alto e perturbação do sossego?,2609.27,11219.45,16698.42,0.5311,166,0.00000332
2026-06-23 14:47:56,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,583.81,5995.70,6581.87,0.6526,393,0.00000786
2026-06-23 14:48:16,Qual o procedimento para solicitar vaga em creche municipal?,1841.08,11127.38,20470.70,0.5497,380,0.00000760
2026-06-23 14:48:27,Considerando os bairros com maior volume de reclamações de tapa-buraco nos últimos 6 meses; quais deles também concentram o maior número de solicitações de retirada de entulho na Zeladoria; e o que isso pode indicar sobre a infraestrutura dessas regiões?,3018.96,7839.25,10858.78,0.5034,188,0.00000376
2026-06-23 14:48:45,Quero saber como solicitar a poda de uma árvore que está bloqueando minha calçada.,2148.75,7750.12,18028.47,0.5710,517,0.00001034
2026-06-23 14:56:38,Qual o canal correto para denunciar som alto e perturbação do sossego?,2098.35,7795.78,18513.84,0.5311,166,0.00000332
2026-06-23 14:56:47,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,677.63,8031.52,8709.57,0.6526,393,0.00000786
2026-06-23 14:57:06,Qual o procedimento para solicitar vaga em creche municipal?,2092.34,8270.57,19344.50,0.5497,380,0.00000760
2026-06-23 14:57:16,Considerando os bairros com maior volume de reclamações de tapa-buraco nos últimos 6 meses; quais deles também concentram o maior número de solicitações de retirada de entulho na Zeladoria; e o que isso pode indicar sobre a infraestrutura dessas regiões?,1987.30,7762.47,9750.84,0.5034,188,0.00000376
2026-06-23 14:57:26,Quero saber como solicitar a poda de uma árvore que está bloqueando minha calçada. E se a árvore cair e danificar meu carro; quem é responsável? E se a Secretaria de Obras disser que é com o Meio Ambiente?,1986.40,7729.55,9716.50,0.5816,464,0.00000928
2026-06-23 15:33:52,Quais os cursos oferecidos pela FUNDEC?,16.68,9645.06,9663.99,1.0000,13112,0.00026224
2026-06-23 15:40:38,Qual o canal correto para denunciar som alto e perturbação do sossego?,2254.83,7933.47,18386.99,0.5311,166,0.00000332
2026-06-23 15:40:46,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,581.06,7941.22,8523.44,0.6526,393,0.00000786
2026-06-23 15:40:57,Como registrar reclamação sobre atendimento em unidade pública?,2763.16,7881.32,10645.27,0.6214,238,0.00000476
2026-06-23 15:41:15,Qual o procedimento para solicitar vaga em creche municipal?,2364.60,7765.46,17951.08,0.5497,380,0.00000760
2026-06-23 15:41:25,Qual foi a média diária de reclamações sobre iluminação pública no Hospital Adão Pereira Nunes no mês de março; e como isso se compara com a média do mesmo período do ano anterior?,2308.85,0.00,10067.24,0.0000,0,0.00000000
2026-06-23 15:41:35,Considerando os bairros com maior volume de reclamações de tapa-buraco nos últimos 6 meses; quais deles também concentram o maior número de solicitações de retirada de entulho na Zeladoria; e o que isso pode indicar sobre a infraestrutura dessas regiões?,1966.40,7808.30,9776.26,0.5034,188,0.00000376
2026-06-23 15:41:54,Quero saber como solicitar a poda de uma árvore que está bloqueando minha calçada.,2331.77,7978.08,19228.68,0.5710,517,0.00001034
2026-06-23 15:44:43,Qual o papel do IPMDC na previdência municipal?,647.80,8134.22,8789.31,0.7625,261,0.00000522
2026-06-23 15:55:36,solicitar quebramola; como eu faço ?,2033.47,0.00,9975.38,0.0000,0,0.00000000
2026-06-23 16:00:06,solicitar quebramola; como eu faço ?,2707.16,0.00,11563.89,0.0000,0,0.00000000
2026-06-23 16:00:25,solicitar quebramola; como eu faço ?,2323.14,0.00,19024.99,0.0000,0,0.00000000
2026-06-23 16:00:42,quem é o prefeito?,2141.10,7843.97,17799.09,0.6609,212,0.00000424
2026-06-23 16:00:49,Quem é o atual Prefeito de Duque de Caxias?,2217.54,7737.28,17767.44,0.7252,343,0.00000686
2026-06-23 16:01:08,quem é o prefeito?,2007.34,7698.29,25767.05,0.6609,212,0.00000424
2026-06-23 16:08:01,Qual o canal correto para denunciar som alto e perturbação do sossego?,2326.73,7778.73,18360.25,0.5311,166,0.00000332
2026-06-23 16:08:10,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,780.21,7826.93,8608.84,0.6526,393,0.00000786
2026-06-23 16:08:21,Como registrar reclamação sobre atendimento em unidade pública?,3173.40,7869.90,11046.72,0.6214,238,0.00000476
2026-06-23 16:08:38,Qual o procedimento para solicitar vaga em creche municipal?,1993.92,7600.07,17207.28,0.5497,380,0.00000760
2026-06-23 16:08:48,Qual foi a média diária de reclamações sobre iluminação pública no Hospital Adão Pereira Nunes no mês de março; e como isso se compara com a média do mesmo período do ano anterior?,1997.60,0.00,9691.45,0.0000,0,0.00000000
2026-06-23 16:08:57,Considerando os bairros com maior volume de reclamações de tapa-buraco nos últimos 6 meses; quais deles também concentram o maior número de solicitações de retirada de entulho na Zeladoria; e o que isso pode indicar sobre a infraestrutura dessas regiões?,1887.63,7633.65,9523.25,0.5034,188,0.00000376
2026-06-23 16:09:15,Quero saber como solicitar a poda de uma árvore que está bloqueando minha calçada.,2025.01,7682.59,17398.98,0.5710,517,0.00001034
2026-06-23 16:13:28,Estou sem luz,2049.56,0.00,11605.68,0.0000,0,0.00000000
2026-06-23 16:13:39,Preciso trocar uma lâmpada,2053.85,0.00,10431.27,0.0000,0,0.00000000
2026-06-23 16:13:41,Trocar lâmpada do poste da minha rua,1859.90,0.00,1860.78,0.0000,0,0.00000000
2026-06-23 16:13:43,Falta de luz no meu bairro inteiro,2042.04,0.00,2043.36,0.0000,0,0.00000000
2026-06-23 16:18:14,Trocar lâmpada do poste da minha rua,1996.95,0.00,9752.87,0.0000,0,0.00000000
2026-06-23 16:19:25,quais os cursos da fundec?,0.21,8864.78,17012.75,1.0000,313,0.00000626
2026-06-23 16:19:43,mostre apenas cursos de informática da fundec,819.27,8377.43,17235.37,0.6311,300,0.00000600
2026-06-23 16:19:59,tem curso de eletricista na fundec?,1021.36,7630.29,16436.03,0.6499,348,0.00000696
2026-06-23 16:20:07,Quem é o atual Prefeito de Duque de Caxias?,2941.12,8457.84,19128.73,0.7252,343,0.00000686
2026-06-23 16:21:12,Qual o canal correto para denunciar som alto e perturbação do sossego?,2948.12,8265.75,19583.17,0.5311,166,0.00000332
2026-06-23 16:21:22,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,1138.24,8206.16,9346.47,0.6526,393,0.00000786
2026-06-23 16:21:32,Como registrar reclamação sobre atendimento em unidade pública?,2681.27,8077.58,10763.12,0.6214,238,0.00000476
2026-06-23 16:21:51,Qual o procedimento para solicitar vaga em creche municipal?,2066.09,8384.41,18952.19,0.5497,380,0.00000760
2026-06-23 16:22:01,Qual foi a média diária de reclamações sobre iluminação pública no Hospital Adão Pereira Nunes no mês de março; e como isso se compara com a média do mesmo período do ano anterior?,1954.36,0.00,9884.42,0.0000,0,0.00000000
2026-06-23 16:22:12,Considerando os bairros com maior volume de reclamações de tapa-buraco nos últimos 6 meses; quais deles também concentram o maior número de solicitações de retirada de entulho na Zeladoria; e o que isso pode indicar sobre a infraestrutura dessas regiões?,2004.25,8369.92,10375.75,0.5034,188,0.00000376
2026-06-23 16:22:29,Quero saber como solicitar a poda de uma árvore que está bloqueando minha calçada.,2084.33,7717.20,17729.44,0.5710,517,0.00001034
2026-06-23 16:40:51,Qual o canal correto para denunciar som alto e perturbação do sossego?,2802.13,8095.18,15308.54,0.5311,166,0.00000332
2026-06-23 16:40:55,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,554.52,4187.66,4746.39,0.6526,393,0.00000786
2026-06-23 16:41:03,Como registrar reclamação sobre atendimento em unidade pública?,1855.92,5364.08,7221.46,0.6214,238,0.00000476
2026-06-23 16:41:28,Qual o procedimento para solicitar vaga em creche municipal?,2286.44,11525.69,25050.78,0.5497,380,0.00000760
2026-06-23 16:41:38,Qual foi a média diária de reclamações sobre iluminação pública no Hospital Adão Pereira Nunes no mês de março; e como isso se compara com a média do mesmo período do ano anterior?,2812.29,0.00,10292.49,0.0000,0,0.00000000
2026-06-23 16:41:45,Considerando os bairros com maior volume de reclamações de tapa-buraco nos últimos 6 meses; quais deles também concentram o maior número de solicitações de retirada de entulho na Zeladoria; e o que isso pode indicar sobre a infraestrutura dessas regiões?,2405.59,4248.24,6655.87,0.5034,188,0.00000376
2026-06-23 16:41:50,Qual o canal correto para denunciar som alto e perturbação do sossego?,2224.59,8245.39,13399.74,0.5311,166,0.00000332
2026-06-23 16:41:55,Como acompanhar o andamento de uma manifestação registrada na Ouvidoria?,1141.14,3992.92,5136.72,0.6526,393,0.00000786
2026-06-23 16:42:01,Quero saber como solicitar a poda de uma árvore que está bloqueando minha calçada.,4555.18,8741.68,15935.11,0.5710,517,0.00001034
2026-06-23 16:42:16,Como registrar reclamação sobre atendimento em unidade pública?,2100.04,19332.34,21434.68,0.6214,238,0.00000476
2026-06-23 16:42:56,Qual o procedimento para solicitar vaga em creche municipal?,2159.74,19530.63,39517.48,0.5497,380,0.00000760
2026-06-23 16:43:16,Qual foi a média diária de reclamações sobre iluminação pública no Hospital Adão Pereira Nunes no mês de março; e como isso se compara com a média do mesmo período do ano anterior?,2141.44,0.00,20151.25,0.0000,0,0.00000000
